id_x,id_cliente,fecha,subtotal,iva,descuento,estado_x,id_factura,id_producto,cantidad,precio_unitario,id_y,nombre_x,apellido,correo,telefono,tipo,estado_y,id,nombre_y,descripcion,precio,stock,estado,total_detalle,total_factura,agno_mes,agno,mes,nombre_cliente
1,293,2026-02-06,1925.73,404.4,78.79,Pendiente,1,200,1,344.29,293,Bienvenida,Codina,gcastell@example.org,+34878935298,Premium,Inactivo,200,Viene,Cierta equipo tal llegado él informe existencia.,344.29,5,Disponible,344.29,5258.61,2026-02,2026,2,Bienvenida Codina
1,293,2026-02-06,1925.73,404.4,78.79,Pendiente,1,51,3,190.77,293,Bienvenida,Codina,gcastell@example.org,+34878935298,Premium,Inactivo,51,Boca,Más niños período madre cual izquierda encuentro.,190.77,194,Disponible,572.3100000000001,5258.61,2026-02,2026,2,Bienvenida Codina
1,293,2026-02-06,1925.73,404.4,78.79,Pendiente,1,70,4,264.32,293,Bienvenida,Codina,gcastell@example.org,+34878935298,Premium,Inactivo,70,Habla,Consecuencia razón no empresa otro.,264.32,228,Agotado,1057.28,5258.61,2026-02,2026,2,Bienvenida Codina
1,293,2026-02-06,1925.73,404.4,78.79,Pendiente,1,118,4,401.29,293,Bienvenida,Codina,gcastell@example.org,+34878935298,Premium,Inactivo,118,Primer,Fiscal hubiera siquiera último tenemos algunas.,401.29,68,Disponible,1605.16,5258.61,2026-02,2026,2,Bienvenida Codina
1,293,2026-02-06,1925.73,404.4,78.79,Pendiente,1,27,2,477.57,293,Bienvenida,Codina,gcastell@example.org,+34878935298,Premium,Inactivo,27,Decía,Aún actitud deja julio dónde.,477.57,317,Agotado,955.14,5258.61,2026-02,2026,2,Bienvenida Codina
1,293,2026-02-06,1925.73,404.4,78.79,Pendiente,1,31,3,80.17,293,Bienvenida,Codina,gcastell@example.org,+34878935298,Premium,Inactivo,31,México,Ellas humana dijo estados.,80.17,475,Disponible,240.51,5258.61,2026-02,2026,2,Bienvenida Codina
1,293,2026-02-06,1925.73,404.4,78.79,Pendiente,1,57,1,483.92,293,Bienvenida,Codina,gcastell@example.org,+34878935298,Premium,Inactivo,57,Diferentes,Marco común otras.,483.92,269,Agotado,483.92,5258.61,2026-02,2026,2,Bienvenida Codina
2,263,2025-08-11,260.31,54.67,57.45,Cancelada,2,189,1,87.56,263,Celestino,Casal,ymaza@example.net,+34851 34 98 11,VIP,Activo,189,Frente,Alta millones mediante deseo respecto.,87.56,44,Agotado,87.56,3081.24,2025-08,2025,8,Celestino Casal
2,263,2025-08-11,260.31,54.67,57.45,Cancelada,2,106,5,12.8,263,Celestino,Casal,ymaza@example.net,+34851 34 98 11,VIP,Activo,106,Cosas,García ciento medios datos fuerzas derechos pone un.,12.8,281,Agotado,64.0,3081.24,2025-08,2025,8,Celestino Casal
2,263,2025-08-11,260.31,54.67,57.45,Cancelada,2,115,8,366.21,263,Celestino,Casal,ymaza@example.net,+34851 34 98 11,VIP,Activo,115,Este,Precisamente fue debe fuego primero futuro.,366.21,469,Agotado,2929.68,3081.24,2025-08,2025,8,Celestino Casal
3,127,2025-07-26,360.84,75.78,93.32,Pagada,3,2,5,323.35,127,Domingo,Llabrés,mantunez@example.com,+34987146557,Regular,Activo,2,Real,Con ambos cierto martín ni historia.,323.35,316,Disponible,1616.75,12301.439999999999,2025-07,2025,7,Domingo Llabrés
3,127,2025-07-26,360.84,75.78,93.32,Pagada,3,109,10,347.96,127,Domingo,Llabrés,mantunez@example.com,+34987146557,Regular,Activo,109,Libros,Crisis llegó don lado.,347.96,89,Disponible,3479.6,12301.439999999999,2025-07,2025,7,Domingo Llabrés
3,127,2025-07-26,360.84,75.78,93.32,Pagada,3,152,9,199.29,127,Domingo,Llabrés,mantunez@example.com,+34987146557,Regular,Activo,152,República,Línea existe jóvenes podemos puede.,199.29,270,Agotado,1793.61,12301.439999999999,2025-07,2025,7,Domingo Llabrés
3,127,2025-07-26,360.84,75.78,93.32,Pagada,3,33,7,385.45,127,Domingo,Llabrés,mantunez@example.com,+34987146557,Regular,Activo,33,Mes,Presidente lugar va iba.,385.45,332,Disponible,2698.15,12301.439999999999,2025-07,2025,7,Domingo Llabrés
3,127,2025-07-26,360.84,75.78,93.32,Pagada,3,36,4,478.21,127,Domingo,Llabrés,mantunez@example.com,+34987146557,Regular,Activo,36,Valor,Fuera queda sería agua así pedro piel.,478.21,330,Disponible,1912.84,12301.439999999999,2025-07,2025,7,Domingo Llabrés
3,127,2025-07-26,360.84,75.78,93.32,Pagada,3,26,3,234.97,127,Domingo,Llabrés,mantunez@example.com,+34987146557,Regular,Activo,26,Sabe,Encima ciencia deja.,234.97,269,Disponible,704.91,12301.439999999999,2025-07,2025,7,Domingo Llabrés
3,127,2025-07-26,360.84,75.78,93.32,Pagada,3,158,1,95.58,127,Domingo,Llabrés,mantunez@example.com,+34987146557,Regular,Activo,158,Dan,Dentro aquel ministro anterior.,95.58,497,Disponible,95.58,12301.439999999999,2025-07,2025,7,Domingo Llabrés
4,119,2025-11-27,1314.01,275.94,9.57,Pendiente,4,68,5,384.66,119,Demetrio,Ferrera,dimascantero@example.net,+34749584567,Regular,Inactivo,68,Particular,Quería diez realizar militar aire oposición parecía.,384.66,34,Disponible,1923.3000000000002,4598.89,2025-11,2025,11,Demetrio Ferrera
4,119,2025-11-27,1314.01,275.94,9.57,Pendiente,4,11,9,152.94,119,Demetrio,Ferrera,dimascantero@example.net,+34749584567,Regular,Inactivo,11,Muerte,Programas largo destino señor militar base.,152.94,406,Disponible,1376.46,4598.89,2025-11,2025,11,Demetrio Ferrera
4,119,2025-11-27,1314.01,275.94,9.57,Pendiente,4,13,5,171.79,119,Demetrio,Ferrera,dimascantero@example.net,+34749584567,Regular,Inactivo,13,Justicia,Muerto medidas esas miedo valores juego solución.,171.79,227,Agotado,858.9499999999999,4598.89,2025-11,2025,11,Demetrio Ferrera
4,119,2025-11-27,1314.01,275.94,9.57,Pendiente,4,3,2,220.09,119,Demetrio,Ferrera,dimascantero@example.net,+34749584567,Regular,Inactivo,3,Hacia,Uno chile esto tan tampoco río sino.,220.09,232,Agotado,440.18,4598.89,2025-11,2025,11,Demetrio Ferrera
5,73,2025-04-13,1550.59,325.62,81.82,Pendiente,5,31,3,80.17,73,Apolonia,Rebollo,camilovara@example.org,+34844 49 72 51,VIP,Inactivo,31,México,Ellas humana dijo estados.,80.17,475,Disponible,240.51,292.62,2025-04,2025,4,Apolonia Rebollo
5,73,2025-04-13,1550.59,325.62,81.82,Pendiente,5,130,1,52.11,73,Apolonia,Rebollo,camilovara@example.org,+34844 49 72 51,VIP,Inactivo,130,Nivel,Necesidad artículo c adelante.,52.11,7,Agotado,52.11,292.62,2025-04,2025,4,Apolonia Rebollo
6,245,2025-08-19,557.73,117.12,43.61,Cancelada,6,183,5,458.7,245,Sonia,Sancho,wperez@example.org,+34 824 113 361,Premium,Activo,183,Especialmente,Mismo baja viaje mañana solamente respuesta les.,458.7,153,Agotado,2293.5,6077.42,2025-08,2025,8,Sonia Sancho
6,245,2025-08-19,557.73,117.12,43.61,Cancelada,6,127,2,320.69,245,Sonia,Sancho,wperez@example.org,+34 824 113 361,Premium,Activo,127,Bastante,Actividad televisión pablo medios.,320.69,246,Disponible,641.38,6077.42,2025-08,2025,8,Sonia Sancho
6,245,2025-08-19,557.73,117.12,43.61,Cancelada,6,133,3,101.02,245,Sonia,Sancho,wperez@example.org,+34 824 113 361,Premium,Activo,133,Unidad,Más marcha libre única persona antonio evitar propios.,101.02,182,Agotado,303.06,6077.42,2025-08,2025,8,Sonia Sancho
6,245,2025-08-19,557.73,117.12,43.61,Cancelada,6,192,7,198.44,245,Sonia,Sancho,wperez@example.org,+34 824 113 361,Premium,Activo,192,Grandes,Banco problema voy cosa suerte dólares.,198.44,494,Agotado,1389.08,6077.42,2025-08,2025,8,Sonia Sancho
6,245,2025-08-19,557.73,117.12,43.61,Cancelada,6,34,8,16.85,245,Sonia,Sancho,wperez@example.org,+34 824 113 361,Premium,Activo,34,Guerra,Justicia pesetas luego partido hoy.,16.85,324,Agotado,134.8,6077.42,2025-08,2025,8,Sonia Sancho
6,245,2025-08-19,557.73,117.12,43.61,Cancelada,6,28,5,263.12,245,Sonia,Sancho,wperez@example.org,+34 824 113 361,Premium,Activo,28,Buscar,Rodríguez deseo mundo programa.,263.12,238,Disponible,1315.6,6077.42,2025-08,2025,8,Sonia Sancho
8,281,2025-03-04,1807.74,379.63,28.79,Pendiente,8,42,4,179.95,281,Gracia,López,alicia39@example.org,+34 886266804,Premium,Activo,42,N,Pasó quién jóvenes.,179.95,121,Disponible,719.8,4944.2300000000005,2025-03,2025,3,Gracia López
8,281,2025-03-04,1807.74,379.63,28.79,Pendiente,8,173,6,365.23,281,Gracia,López,alicia39@example.org,+34 886266804,Premium,Activo,173,M,Ayer espera reforma hospital.,365.23,61,Agotado,2191.38,4944.2300000000005,2025-03,2025,3,Gracia López
8,281,2025-03-04,1807.74,379.63,28.79,Pendiente,8,3,4,220.09,281,Gracia,López,alicia39@example.org,+34 886266804,Premium,Activo,3,Hacia,Uno chile esto tan tampoco río sino.,220.09,232,Agotado,880.36,4944.2300000000005,2025-03,2025,3,Gracia López
8,281,2025-03-04,1807.74,379.63,28.79,Pendiente,8,117,3,384.23,281,Gracia,López,alicia39@example.org,+34 886266804,Premium,Activo,117,Aquellas,Sólo destino mujeres chile.,384.23,287,Disponible,1152.69,4944.2300000000005,2025-03,2025,3,Gracia López
9,6,2025-03-12,106.73,22.41,9.92,Cancelada,9,179,7,28.44,6,Javiera,Morata,federico03@example.net,+34916644339,Premium,Activo,179,Términos,Solución todas queda.,28.44,73,Disponible,199.08,2501.01,2025-03,2025,3,Javiera Morata
9,6,2025-03-12,106.73,22.41,9.92,Cancelada,9,19,3,19.03,6,Javiera,Morata,federico03@example.net,+34916644339,Premium,Activo,19,Pasa,Director algunas particular difícil persona.,19.03,406,Disponible,57.09,2501.01,2025-03,2025,3,Javiera Morata
9,6,2025-03-12,106.73,22.41,9.92,Cancelada,9,124,3,242.92,6,Javiera,Morata,federico03@example.net,+34916644339,Premium,Activo,124,Memoria,Mismos grupos nada parece.,242.92,376,Disponible,728.76,2501.01,2025-03,2025,3,Javiera Morata
9,6,2025-03-12,106.73,22.41,9.92,Cancelada,9,76,4,379.02,6,Javiera,Morata,federico03@example.net,+34916644339,Premium,Activo,76,Había,Suelo orden victoria precio.,379.02,239,Disponible,1516.08,2501.01,2025-03,2025,3,Javiera Morata
10,65,2026-01-23,1940.61,407.53,40.54,Cancelada,10,29,4,262.11,65,Rosario,Tirado,yessicabaquero@example.org,+34 881 96 62 86,VIP,Inactivo,29,Norte,México equipo grupo unas defensa exterior agua esfuerzo.,262.11,267,Agotado,1048.44,2998.11,2026-01,2026,1,Rosario Tirado
10,65,2026-01-23,1940.61,407.53,40.54,Cancelada,10,191,9,216.63,65,Rosario,Tirado,yessicabaquero@example.org,+34 881 96 62 86,VIP,Inactivo,191,Están,Radio creo paz trabajar allá entrar servicios derecha.,216.63,91,Disponible,1949.67,2998.11,2026-01,2026,1,Rosario Tirado
